Ligne;Station;Latitude;Longitude
Orange;Montmorency;45.55719174188016; -73.71971273336159
Orange;De La Concorde;45.560880031031914;-73.70968933151556
Orange;Cartier;45.56026238521742;-73.68179574685604
Orange;Henri-Bourassa;45.55430025038425; -73.66827225850496
Orange;Sauvé;45.55087922627871;-73.65611111617545
Orange;Crémazie;45.54600064845894;-73.63833875582432
Orange;Jarry;45.543660024066504;-73.62848450452701
Orange;Beaubien;45.53569432520125;-73.60462168650542
Orange;Rosemont;45.53140998076487;-73.59771372967082
Orange;Laurier;45.527237260957705;-73.58651512883513
Orange;Mont-Royal;45.524669599771045; -73.58165044232972
Orange;Sherbrooke;45.51845050329708; -73.56820454501191
Orange;Champ-de-Mars;45.51041469085024;-73.55649442967173
Orange;Places-d'Armes;45.50599609380933;-73.55983338465947
Orange;Square-Victoria;45.5020658344421;-73.56313945767027
Orange;Bonaventure;45.49820646440523;-73.56674712698918
Orange;Lucien-l'Allier;45.49520136531536; -73.57089108734276
Orange;Georges-Vanier;45.48912721330034;-73.5764792873429
Orange;Lionel-Groulx;45.482992544432975;-73.57966706931893
Orange;Place-Saint-Henri;45.477274896846275; -73.58651615268397
Orange;Vendome;45.47404366832818;-73.60380342883512
Orange;Villa-Maria;45.47969066718039;-73.61979370125138
Orange;Cote-Saint-Catherine;45.49263106532938;-73.63271494232973
Orange;Plamondon;45.49454092053744; -73.63793467116486
Orange;Namur;45.49513581200227;-73.6529861865054
Orange;De la Savane;45.50052744824375;-73.66151965850733
Orange;Du Collège;45.509486074701606;-73.67470225767026
Orange;Cote-Vertu;45.51397113505016;-73.68309001718647
Bleu;Saint-Michel;45.56004196242129;-73.59993541349459
Bleu;D'Ibreville;45.55293185440854; -73.60258044685642
Bleu;Fabre;45.547146156759595;-73.60797708848322
Bleu;Jean-Talon;45.53981629512815; -73.61366327116487
Bleu;De Castelnau;45.53558730392088;-73.61989445767028
Bleu;Parc;45.53067005987261;-73.62371592514324
Bleu;Acadie;45.524432741929076;-73.62610066872237
Bleu;Outremont;45.52027360219533;-73.61500253336315
Bleu;Édouard-Montpetit;45.51029552726675;-73.61257721534054
Bleu;Université-de-Montreal;45.504145606806446;-73.61806773151791
Bleu;Cote-des-neiges;45.496937734669146;-73.62326726745077
Bleu;Snowdon;45.48554813359116;-73.62775910083768
Vert;Honoré-Beaugrand;45.59702260959568; -73.53447301534055
Vert;Radisson;45.589522066846435; -73.53922508733865
Vert;Langelier;45.5833947332749;-73.54330208221965
Vert;Cadillac;45.57783405396897; -73.54679974082588
Vert;Assomption;45.569523848299674;-73.54668252966916
Vert;Viau;45.561726761401765;-73.54717609362838
Vert;Pie-IX;45.55693342147617;-73.55227298710452
Vert;Joliette;45.547236954693055;-73.55146868465947
Vert;Préfontaine;45.541670102055555; -73.55435059999999
Vert;Frontenac;45.533346018475115;-73.55212528465947
Vert;Papineau;45.52382215148508; -73.55206919999999
Vert;Beaudry;45.51937908026131;-73.55606036424331
Vert;Saint-Laurent;45.51105446996572;-73.5647607008366
Vert;Place-des-Arts;45.50830019523508;-73.56897717493305
Vert;McGill;45.50418744902344;-73.57155468650541
Vert;Peel;45.501555112347965;-73.57491284948875
Vert;Guy-Concordia ;45.495888768974;-73.57889679815405
Vert;Atwater;45.49034864380558;-73.58435704534591
Vert;Charlevoix;45.47847562500329; -73.56932864232972
Vert;Lasalle;45.470944199999124;-73.56609638734372
Vert;De l'Église;45.46192612184232;-73.56735967200356
Vert;Verdun;45.45931797561005;-73.57168467384966
Vert;Jolicoeur;45.45747987466725;-73.58268188640488
Vert;Monk;45.4513150265357;-73.59329264686085
Vert;Angrignon;45.44796378094033;-73.60362467166009
Jaune;Berri-Uquam;45.51505938370455;-73.55982326219855
Jaune;Jean-Drapeau;45.51266911134304; -73.53314519999999
Jaune;Longueil-Université de Sherbrooke;45.525004370040904;-73.52201940268199
