Ligne,Station,Latitude,Longitude
Orange,Montmorency,45.5584, -73.7215
Orange,De La Concorde,45.5607,-73.7097
Orange,Cartier,45.5601,-73.6818
Orange,Henri-Bourassa,45.5561, -73.6674
Orange,Sauvé,45.5507,-73.6561
Orange,Crémazie,45.5459,-73.6384
Orange,Jarry,45.5432,-73.6284
Orange,Beaubien,45.5355,-73.6046
Orange,Rosemont,45.5312,-73.5978
Orange,Laurier,45.5271,-73.5865
Orange,Mont-Royal,45.5245, -73.5817
Orange,Sherbrooke,45.5183, -73.5682
Orange,Champ-de-Mars,45.5102,-73.5566
Orange,Places-d'Armes,45.5058,-73.5599
Orange,Square-Victoria,45.5019,-73.5631
Orange,Bonaventure,45.4980,-73.5668
Orange,Lucien-l'Allier,45.4950, -73.5709
Orange,Georges-Vanier,45.4889,-73.5765
Orange,Lionel-Groulx,45.4829,-73.5798
Orange,Place-Saint-Henri,45.4771, -73.5865
Orange,Vendome,45.4739,-73.6038
Orange,Villa-Maria,45.4796,-73.6198
Orange,Cote-Saint-Catherine,45.4924,-73.6328
Orange,Plamondon,45.4943, -73.6379
Orange,Namur,45.4950,-73.6530
Orange,De la Savane,45.5003,-73.6616
Orange,Du Collège,45.5095,-73.6747
Orange,Cote-Vertu,45.5139,-73.6830
Bleu,Saint-Michel,45.5599,-73.6000
Bleu,D'Ibreville,45.5528, -73.6026
Bleu,Fabre,45.5466,-73.6081
Bleu,Jean-Talon,45.5396, -73.6137
Bleu,De Castelnau,45.5355,-73.6199
Bleu,Parc,45.5305,-73.6239
Bleu,Acadie,45.5234,-73.6237
Bleu,Outremont,45.5201,-73.6149
Bleu,Édouard-Montpetit,45.5101,-73.6126
Bleu,Université-de-Montreal,45.5027,-73.6183
Bleu,Cote-des-neiges,45.4969,-73.6234
Bleu,Snowdon,45.4855,-73.6278
Vert,Honoré-Beaugrand,45.5968, -73.5344
Vert,Radisson,45.5894, -73.5393
Vert,Langelier,45.5827,-73.5431
Vert,Cadillac,45.5769, -73.5467
Vert,Assomption,45.5694,-73.5468
Vert,Viau,45.5612,-73.5472
Vert,Pie-IX,45.5537,-73.5518
Vert,Joliette,45.5471,-73.5515
Vert,Préfontaine,45.5415, -73.5544
Vert,Frontenac,45.5332,-73.5522
Vert,Papineau,45.5237, -73.5521
Vert,Beaudry,45.5189,-73.5559
Vert,Saint-Laurent,45.5109,-73.5648
Vert,Place-des-Arts,45.5078,-73.5688
Vert,McGill,45.5041,-73.5715
Vert,Peel,45.5009,-73.5746
Vert,Guy-Concordia ,45.4958,-73.5790
Vert,Atwater,45.4894,-73.5844
Vert,Charlevoix,45.4783, -73.5694
Vert,Lasalle,45.4708,-73.5662
Vert,De l'Église,45.4618,-73.5675
Vert,Verdun,45.4593,-73.5717
Vert,Jolicoeur,45.4568,-73.5820
Vert,Monk,45.4512,-73.5932
Vert,Angrignon,45.4463,-73.6038
Jaune,Berri-Uquam,45.5150,-73.5610
Jaune,Jean-Drapeau,45.5125, -73.5332
Jaune,Longueil-Université de Sherbrooke,45.5249,-73.5221
